hn,date_of_submission,species,submitted_sample,vitek_id,bacteria_genus,report_issued_date,ans_amikacin,ans_amoxicillin/clavulanic acid,ans_azithromycin,ans_cefalexin,ans_cefazolin,ans_cefixime,ans_cefovecin,ans_cefpodoxime,ans_ceftriaxone,ans_chloramphenicol,ans_clindamycin,ans_doxycycline,ans_enrofloxacin,ans_fluconazole,ans_fosfomycin,ans_gentamicin,ans_imipenem,ans_marbofloxacin,ans_metronidazole,ans_minocycline,ans_nitrofurantoin,ans_piperacillin/tazobactam,ans_polymyxin b,ans_pradofloxacin,ans_rifampicin,ans_tetracycline,ans_trimethoprim/sulfamethoxazole,ans_vancomycin,S/I/R_amikacin,S/I/R_amoxicillin/clavulanic acid,S/I/R_ampicillin,S/I/R_benzylpenicillin,S/I/R_cefalexin,S/I/R_cefalotin,S/I/R_cefotaxime,S/I/R_cefovecin,S/I/R_cefoxitin screen,S/I/R_cefpodoxime,S/I/R_ceftiofur,S/I/R_ceftriaxone,S/I/R_chloramphenicol,S/I/R_clindamycin,S/I/R_doxycycline,S/I/R_enrofloxacin,S/I/R_erythromycin,S/I/R_esbl,S/I/R_florfenicol,S/I/R_fusidic acid,S/I/R_gentamicin,S/I/R_imipenem,S/I/R_inducible clindamycin resistance,S/I/R_levofloxacin,S/I/R_linezolid,S/I/R_marbofloxacin,S/I/R_minocycline,S/I/R_moxifloxacin,S/I/R_mupirocin,S/I/R_neomycin,S/I/R_nitrofurantoin,S/I/R_oxacillin,S/I/R_piperacillin,S/I/R_polymyxin b,S/I/R_pradofloxacin,S/I/R_rifampicin,S/I/R_teicoplanin,S/I/R_tetracycline,S/I/R_tigecycline,S/I/R_tobramycin,S/I/R_trimethoprim/sulfamethoxazole,S/I/R_vancomycin
42945,2021-01-21,dog,ub mucosa,GN,escherichia,2021-01-27,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,S,R,R,,S,S,,I,,S,S,,I,,R,R,,-,,,S,S,,,,R,,,,S,S,,,,R,,,R,,,R,
42946,2020-12-01,dog,urine,GN,pseudomonas,2020-12-04,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,S,,,,,,,,,,,,,,,I,,,,,S,S,,,,S,,,,,,,,,,,,,,,,
42947,2020-12-15,cat,ear wax,GN,pseudomonas,2020-12-18,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,S,,,,,,,,,,,,,,,I,,,,,S,S,,,,S,,,,,,,,,,,,,,,,
42948,2021-01-04,dog,urine,GN,proteus,2021-01-07,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,S,S,R,,R,R,,R,,R,R,,R,,R,R,,,,,R,I,,,,R,,,,S,R,,,,R,,,R,,,R,
42949,2020-12-06,dog,ear exudate,GN,proteus,2020-12-14,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,S,S,R,,I,S,,S,,S,S,,R,,R,S,,,,,S,R,,,,S,,,,S,R,,,,S,,,R,,,R,
42950,2020-12-08,cat,pleural fluid,GN,neisseria,2020-12-15,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,R,S,S,,S,S,,,,S,,,S,,S,,,-,,,S,,,,,S,,,,,S,,,,,,,S,,,,
42951,2020-12-27,dog,skin swab,GN,pseudomonas,2020-12-30,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,S,,,,,,,,,,,,,,,S,,,,,S,S,,,,S,,,,,,,,,,,,,,,,
42952,2020-12-14,cat,urine,GN,pseudomonas,2020-12-17,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,S,,,,,,,,,,,,,,,I,,,,,S,S,,,,S,,,,,,,,,,,,,,,,
42953,2020-12-18,cat,urine,GN,pseudomonas,2020-12-23,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,S,,,,,,,,,,,,,,,I,,,,,S,S,,,,S,,,,,,,,,,,,,,,,
42954,2020-12-16,dog,urine,GN,enterobacter,2020-12-21,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,S,R,,,R,R,,S,,R,S,,S,,S,S,,,,,S,S,,,,S,,,,S,I,,,,S,,,S,,,S,
42955,2020-12-14,cat,pleural effusion,GN,pasteurella,2020-12-18,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,S,S,,S,,,,,S,S,,S,,,S,,,,,I,S,,,,S,,,,S,,,,,S,,,S,,,S,
42956,2020-05-19,dog,urine,GN,escherichia,2020-05-21,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,S,S,R,,S,R,,S,,S,S,,I,,R,S,,-,,,S,S,,,,S,,,,S,S,,,,S,,,R,,,S,
42957,2021-04-01,dog,open wound,GN,pseudomonas,2021-04-08,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,S,,,,,,,R,,,R,,,,,R,,,,,S,R,,,,R,,,,,,,,,,,,,,,,
42958,2021-01-07,dog,surgical site,GN,pseudomonas,2021-01-12,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,S,,,,,,,,,,,,,,,I,,,,,S,S,,,,S,,,,,,,,,,,,,,,,
42959,2020-12-17,cat,urine,GN,burkholderia,2020-12-23,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,R,,,,,,,,,,,,R,,I,R,,,,,R,R,,,,R,,,,,,,,,,,,R,,,S,
42960,2020-12-17,cat,urine,GN,pasteurella,2020-12-24,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,S,S,,S,,,,,S,S,,S,,,S,,,,,S,S,,,,S,,,,S,,,,,S,,,S,,,S,
42961,2021-01-18,dog,urine,GN,acinetobacter,2021-01-21,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,R,R,,,,,R,R,,,,R,,,,,,,,,,,,R,,,R,
42962,2020-12-22,cat,abdominal cavity,GN,enterobacter,2020-12-28,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,S,R,,,R,R,,I,,R,S,,I,,S,S,,,,,S,S,,,,S,,,,S,I,,,,S,,,S,,,S,
42963,2020-12-23,cat,root tooth abscess,GN,pasteurella,2020-12-28,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,S,S,,S,,,,,S,S,,S,,,S,,,,,S,S,,,,S,,,,S,,,,,S,,,S,,,S,
42964,2020-12-25,dog,urine,GN,escherichia,2020-12-30,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,S,S,S,,S,S,,S,,S,S,,S,,S,S,,-,,,S,S,,,,S,,,,S,S,,,,S,,,S,,,S,
42965,2021-01-05,cat,open wound,GN,pseudomonas,2021-01-08,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,S,,,,,,,,,,,,R,,S,S,,,,,S,S,,,,S,,,,,,,,,,,,I,,,S,
42966,2021-03-28,cat,wound,GN,pasteurella,2021-04-01,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,S,,S,S,,S,,,S,,,,,,S,,,,S,,,,S,,,,,S,,,S,,,,
42967,2021-01-18,cat,urine,GN,pseudomonas,2021-01-21,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,S,,,,,,,,,,,,,,,I,,,,,S,S,,,,S,,,,,,,,,,,,,,,,
42968,2021-04-28,dog,urine,GN,escherichia,2021-05-03,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,S,S,R,,S,S,,S,,S,S,,I,,S,S,,-,,,S,S,,,,S,,,,S,S,,,,S,,,S,,,S,
42969,2021-01-21,cat,urine,GN,escherichia,2021-01-27,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,S,R,R,,S,S,,S,,S,S,,R,,R,R,,-,,,R,S,,,,R,,,,I,S,,,,R,,,R,,,R,
42970,2021-01-18,dog,abscess,GN,aeromonas,2021-01-21,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,S,I,,,,,,,,,,,S,,,S,,,,,S,I,,,,S,,,,,,,,,,,,S,,,S,
42971,2021-01-13,cat,hemoculture,GN,burkholderia,2021-01-18,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,R,,,,,,,,,,,,R,,S,R,,,,,R,R,,,,S,,,,,,,,,,,,R,,,S,
42972,2021-01-13,cat,pleural fluid,GN,pasteurella,2021-01-19,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,,S,S,,S,,,,,S,S,,S,,,S,,,,,S,S,,,,S,,,,S,,,,,S,,,S,,,,
42973,2021-01-13,cat,urine,GN,escherichia,2021-01-18,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,S,S,R,,S,S,,S,,S,S,,S,,R,R,,-,,,S,S,,,,R,,,,S,S,,,,R,,,R,,,S,
42974,2021-01-12,dog,bite wound,GN,methylobacterium,2021-01-20,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,S,S,S,,S,S,,S,,S,S,,S,,S,S,,-,,,S,S,,,,S,,,,S,S,,,,S,,,R,,,S,
42975,2021-01-15,dog,urine,GN,proteus,2021-01-20,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,S,S,S,,S,S,,S,,S,S,,I,,R,S,,,,,S,S,,,,S,,,,S,R,,,,S,,,R,,,S,
42976,2021-01-15,dog,lung,GN,escherichia,2021-01-20,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,S,S,R,,R,I,,S,,S,S,,S,,R,S,,-,,,S,S,,,,S,,,,S,S,,,,S,,,I,,,R,
42977,2021-01-20,dog,wound,GN,klebsiella,2021-01-27,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,S,S,R,,S,S,,S,,S,S,,S,,R,I,,-,,,S,S,,,,S,,,,S,I,,,,I,,,R,,,S,
42978,2021-01-22,cat,open wound,GN,pseudomonas,2021-01-28,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,S,,,,,,,,,,,,,,,I,,,,,S,S,,,,S,,,,,,,,,,,,,,,,
42979,2021-05-16,dog,blood,GN,klebsiella,2021-05-19,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,S,R,R,,S,S,,S,,S,S,,I,,R,R,,+,,,R,S,,,,R,,,,S,R,,,,R,,,R,,,R,
42980,2021-03-24,cat,bile,GN,enterobacter,2021-03-30,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,S,R,,,R,R,,S,,S,S,,S,,S,S,,,,,S,S,,,,S,,,,S,S,,,,S,,,S,,,S,
42981,2021-04-30,dog,open wound,GN,escherichia,2021-05-05,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,S,R,R,,R,R,,R,,R,R,,R,,R,I,,+,,,S,S,,,,S,,,,I,S,,,,I,,,R,,,R,
42982,2021-05-12,dog,surgical site,GN,escherichia,2021-05-03,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,S,R,R,,R,R,,R,,R,R,,R,,R,I,,+,,,S,S,,,,S,,,,I,S,,,,I,,,R,,,R,
42983,2021-04-07,cat,urine,GN,klebsiella,2021-04-09,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,S,R,R,,R,R,,R,,R,R,,R,,R,R,,-,,,S,S,,,,R,,,,S,R,,,,R,,,R,,,R,
42984,2021-04-02,dog,urine,GN,pseudomonas,2021-04-08,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,S,,,,,,,R,,,R,,,,,I,,,,,S,S,,,,S,,,,,,,,,,,,,,,,
42985,2021-03-23,cat,urine,GN,pseudomonas,2021-03-29,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,S,,,,,,,R,,,R,,,,,I,,,,,S,S,,,,S,,,,,,,,,,,,,,,,
42986,2021-04-02,cat,urine,GN,escherichia,2021-04-08,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,S,S,R,,S,S,,S,,S,S,,R,,R,R,,-,,,S,S,,,,R,,,,S,I,,,,R,,,R,,,R,
42987,2021-03-23,dog,open wound,GN,pasteurella,2021-03-29,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,S,,,S,,,,,R,,,,,,S,,,,R,,,,S,,,,,,,,,,,,
42988,2021-04-19,dog,ub mucosa,GN,escherichia,2021-04-21,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,S,S,R,,S,I,,S,,S,S,,R,,R,R,,-,,,S,S,,,,R,,,,S,S,,,,R,,,R,,,R,
42989,2021-03-25,dog,urine,GN,escherichia,2021-03-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,I,R,R,,R,R,,R,,R,R,,S,,I,R,,+,,,S,S,,,,R,,,,S,S,,,,R,,,R,,,S,
42990,2021-03-31,dog,abdominal fluid,GN,escherichia,2021-04-07,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,S,R,I,,R,R,,S,,S,S,,S,,S,S,,-,,,S,S,,,,S,,,,S,S,,,,S,,,S,,,S,
42991,2021-04-01,dog,abdominal cavity,GN,escherichia,2021-04-09,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,S,R,R,,R,R,,S,,S,S,,I,,R,R,,-,,,S,S,,,,R,,,,S,S,,,,R,,,R,,,S,
42992,2021-03-31,cat,pleural fluid,GN,pasteurella,2021-04-07,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,S,,S,S,,S,,,S,,,,,,S,,,,S,,,,S,,,,,S,,,S,,,,
42993,2021-04-05,cat,abdominal cavity,GN,aeromonas,2021-04-16,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,S,I,,,,,,S,,,R,,S,,,S,,,,,S,R,,,,S,,,,,,,,,,,,S,,,S,
42994,2021-05-17,dog,open wound,GN,escherichia,2021-05-20,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,S,R,R,,R,R,,R,,R,R,,R,,R,R,,-,,,S,S,,,,R,,,,I,S,,,,R,,,R,,,S,
42995,2021-05-13,dog,ub mucosa,GN,pseudomonas,2021-05-19,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,S,,,,,,,,,,,,,,,I,,,,,S,S,,,,S,,,,,,,,,,,,,,,,
42996,2021-04-20,cat,swab,GN,burkholderia,2021-04-28,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,R,,,,,,,,,,,,I,,S,S,,,,,R,R,,,,S,,,,,,,,,,,,R,,,S,
42997,2021-04-23,dog,urine,GN,escherichia,2021-04-28,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,S,S,R,,S,S,,S,,S,S,,R,,S,R,,-,,,S,S,,,,R,,,,R,S,,,,R,,,R,,,R,
42998,2021-04-29,cat,open wound,GN,proteus,2021-05-05,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,S,S,S,,I,S,,S,,S,S,,I,,R,S,,,,,S,I,,,,S,,,,S,R,,,,S,,,R,,,S,
42999,2021-04-30,dog,pus,GN,pseudomonas,2021-05-07,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,R,,,,,,,,,,,,,,,I,,,,,R,S,,,,S,,,,,,,,,,,,,,,,
43000,2021-05-08,dog,ear swab,GN,pseudomonas,2021-05-14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,I,,,,,,,,,,,,,,,I,,,,,I,S,,,,S,,,,,,,,,,,,,,,,
43001,2021-05-13,dog,urine,GN,pseudomonas,2021-05-19,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,S,,,,,,,,,,,,,,,I,,,,,S,S,,,,S,,,,,,,,,,,,,,,,
43002,2021-05-18,cat,urine,GN,escherichia,2021-05-25,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,S,S,S,,S,S,,S,,S,S,,S,,S,S,,-,,,S,S,,,,S,,,,S,S,,,,S,,,S,,,S,
43003,2021-05-20,cat,urine,GN,escherichia,2021-05-25,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,S,R,R,,R,R,,R,,R,R,,S,,R,R,,-,,,S,S,,,,R,,,,S,S,,,,R,,,R,,,S,
43004,2021-05-22,cat,wound,GN,pseudomonas,2021-05-31,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,S,,,,,,,,,,,,,,,I,,,,,S,S,,,,S,,,,,,,,,,,,,,,,
43005,2021-05-25,cat,open wound,GN,klebsiella,2021-05-28,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,S,S,R,,S,S,,S,,S,S,,S,,S,S,,-,,,S,S,,,,S,,,,S,I,,,,S,,,S,,,S,
43006,2021-05-02,dog,ear exudate,GN,proteus,2021-05-11,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,S,S,S,,I,S,,S,,S,S,,S,,R,S,,,,,S,R,,,,S,,,,S,R,,,,S,,,R,,,S,
43007,2021-01-20,dog,ear swab,GN,pseudomonas,2021-01-21,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,S,,,,,,,,,,,,,,,I,,,,,I,S,,,,I,,,,,,,,,,,,,,,,
43008,2021-01-25,cat,abdominal fluid,GN,escherichia,2021-01-28,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,S,R,R,,R,R,,S,,S,S,,R,,R,R,,-,,,R,S,,,,R,,,,S,S,,,,R,,,R,,,S,
43009,2021-02-05,dog,urine,GN,klebsiella,2021-02-10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,R,R,R,,R,R,,R,,R,R,,R,,R,R,,+,,,R,S,,,,R,,,,R,R,,,,R,,,I,,,R,
43010,2021-04-19,dog,urine,GN,pseudomonas,2021-04-23,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,S,,,,,,,R,,,R,,,,,I,,,,,S,S,,,,S,,,,,,,,,,,,,,,,
43011,2021-05-03,dog,urine,GN,proteus,2021-05-11,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,S,I,R,,R,R,,R,,R,R,,R,,R,R,,,,,R,R,,,,R,,,,S,R,,,,R,,,R,,,R,
43012,2020-05-05,dog,fluid,GN,escherichia,2020-05-12,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,S,R,R,,R,R,,S,,S,S,,R,,R,R,,-,,,S,S,,,,R,,,,S,I,,,,R,,,R,,,R,
43013,2020-07-01,dog,nasal cavity,GN,acinetobacter,2020-07-15,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,S,,,,,,,,,,,,,,S,R,,,,,S,S,,,,R,,,,,,,,,,,,S,,,S,
43014,2020-07-13,dog,urine,GN,pseudomonas,2020-07-17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,I,,,,,,,,,,,,,,,R,,,,,R,S,,,,R,,,,,,,,,,,,,,,,
43015,2020-07-01,cat,urine,GN,acinetobacter,2020-07-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,R,R,,,,,R,R,,,,R,,,,,,,,,,,,R,,,R,
43016,2020-08-17,dog,urine,GN,proteus,2020-08-20,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,S,I,R,,S,S,,S,,S,S,,I,,R,R,,,,,S,S,,,,R,,,,,R,,,,,,,R,,,S,
43017,2020-08-21,dog,pus,GN,klebsiella,2020-08-26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,R,R,R,,R,R,,R,,R,R,,S,,R,R,,+,,,R,S,,,,R,,,,S,R,,,,R,,,R,,,S,
43018,2020-09-08,dog,pus,GN,pseudomonas,2020-09-11,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,S,,,,,,,,,,,,,,,S,,,,,S,S,,,,S,,,,,,,,,,,,,,,,
43019,2020-10-05,cat,urine,GN,klebsiella,2020-10-09,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,S,R,R,,R,R,,R,,I,I,,I,,R,R,,-,,,R,S,,,,R,,,,R,I,,,,R,,,R,,,S,
43020,2020-10-05,dog,wound,GN,escherichia,2020-10-09,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,S,S,R,,R,I,,S,,S,S,,S,,S,S,,-,,,S,S,,,,S,,,,S,S,,,,S,,,S,,,S,
43021,2020-10-08,dog,urine,GN,escherichia,2020-10-14,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,S,R,R,,R,R,,R,,R,R,,I,,R,R,,+,,,S,S,,,,R,,,,S,S,,,,R,,,R,,,R,
43022,2020-10-19,dog,urine,GN,escherichia,2020-10-22,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,S,S,R,,S,R,,S,,S,S,,R,,R,R,,-,,,S,S,,,,R,,,,S,S,,,,R,,,R,,,R,
43023,2020-10-19,dog,urine,GN,klebsiella,2020-10-22,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,R,I,R,,R,R,,R,,R,R,,S,,S,R,,+,,,R,S,,,,R,,,,R,S,,,,R,,,S,,,S,
43024,2020-10-20,cat,urine,GN,pseudomonas,2020-10-28,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,S,,,,,,,,,,,,,,,I,,,,,S,S,,,,S,,,,,,,,,,,,,,,,
43025,2020-10-26,cat,urine,GN,acinetobacter,2020-10-28,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,R,R,,,,,R,R,,,,R,,,,,,,,,,,,R,,,R,
43026,2020-11-24,cat,urine,GN,klebsiella,2020-11-27,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,S,R,R,,R,R,,R,,R,R,,S,,R,R,,-,,,R,S,,,,R,,,,S,I,,,,R,,,R,,,S,
43027,2020-12-02,dog,urine,GN,klebsiella,2020-12-07,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,R,R,R,,R,R,,R,,R,R,,R,,R,R,,+,,,R,R,,,,R,,,,S,R,,,,R,,,R,,,S,
43028,2020-12-01,cat,urine,GN,acinetobacter,2020-12-25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,R,R,,,,,S,R,,,,R,,,,,,,,,,,,R,,,R,
43029,2021-01-06,dog,purulent,GN,escherichia,2021-01-11,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,S,R,S,,R,R,,S,,S,S,,S,,S,S,,-,,,S,S,,,,S,,,,S,S,,,,S,,,S,,,S,
43030,2020-10-09,dog,urine,GN,proteus,2020-10-15,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,S,S,R,,S,S,,S,,S,S,,R,,R,S,,,,,S,I,,,,S,,,,I,R,,,,S,,,R,,,S,
43031,2020-10-30,dog,urine,GN,proteus,2020-11-04,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,S,R,R,,R,R,,R,,R,R,,R,,R,I,,,,,R,R,,,,S,,,,S,R,,,,I,,,R,,,R,
43032,2020-07-21,dog,urine,GN,proteus,2020-07-24,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,S,R,R,,R,R,,R,,R,R,,R,,R,R,,,,,R,I,,,,R,,,,I,R,,,,R,,,R,,,R,
43033,2020-10-22,cat,urine,GN,pseudomonas,2020-10-28,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,S,,,,,,,,,,,,,,,R,,,,,R,S,,,,R,,,,,,,,,,,,,,,,
43034,2020-11-27,cat,urine,GN,klebsiella,2020-12-01,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,S,R,R,,R,R,,I,,I,I,,R,,R,R,,-,,,S,S,,,,R,,,,S,R,,,,R,,,R,,,R,
